ID,Title,Relase,Audience Rating,Runtime,Genre,IMDB Rating,Votes,Box Office Earnings,Director,Actors,Description,Genre1,Genre2,Genre3,Drama,Crime,Adventure,Romance,SciFi,War,Family,Music,Comedy,Mystery,Musical,Biography,Action,Western,Thriller,Horror,FilmNoir,Fantasy,Sport,History,clean_plot,genre_new
16,The Lord of the Rings: The Two Towers,-2002,PG-13,179 min,"Adventure, Drama, Fantasy",8.7,"14,43,193","14,43,193",Peter Jackson,"[Elijah Wood, Ian McKellen, Viggo Mortensen, Orlando Bloom]","While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Saurons new ally, Saruman, and his hordes of Isengard.",Adventure,Drama,Fantasy,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,frodo sam edge closer mordor help shifty gollum divided fellowship makes stand saurons new ally saruman hordes isengard,"['Adventure', ' Drama', ' Fantasy']"
17,The Matrix,-1999,R,136 min,"Action, SciFi",8.7,"16,23,709","16,23,709",Lana Wachowski,"[Lilly Wachowski, Keanu Reeves, Laurence Fishburne, Carrie-Anne Moss]",A computer hacker learns from mysterious rebels about the true nature of his reality and his role in the war against its controllers.,Action,SciFi,None,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,computer hacker learns mysterious rebels true nature reality role war controllers,"['Action', ' SciFi']"
18,Goodfellas,-1990,R,146 min,"Biography, Crime, Drama",8.7,"9,85,531","9,85,531",Martin Scorsese,"[Robert De Niro, Ray Liotta, Joe Pesci, Lorraine Bracco]","The story of Henry Hill and his life in the mob, covering his relationship with his wife Karen Hill and his mob partners Jimmy Conway and Tommy DeVito in the Italian-American crime syndicate.",Biography,Crime,Drama,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,story henry hill life mob covering relationship wife karen hill mob partners jimmy conway tommy devito italian american crime syndicate,"['Biography', ' Crime', ' Drama']"
19,Star Wars: Episode V - The Empire Strikes Back,-1980,PG,124 min,"Action, Adventure, Fantasy",8.7,"11,27,150","11,27,150",Irvin Kershner,"[Mark Hamill, Harrison Ford, Carrie Fisher, Billy Dee Williams]","After the Rebels are brutally overpowered by the Empire on the ice planet Hoth, Luke Skywalker begins Jedi training with Yoda, while his friends are pursued by Darth Vader and a bounty hunter named Boba Fett all over the galaxy.",Action,Adventure,Fantasy,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,rebels brutally overpowered empire ice planet hoth luke skywalker begins jedi training yoda friends pursued darth vader bounty hunter named boba fett galaxy,"['Action', ' Adventure', ' Fantasy']"
20,One Flew Over the Cuckoos Nest,-1975,R,133 min,Drama,8.7,"8,86,740","8,86,740",Milos Forman,"[Jack Nicholson, Louise Fletcher, Will Sampson, Michael Berryman]","A criminal pleads insanity and is admitted to a mental institution, where he rebels against the oppressive nurse and rallies up the scared patients.",Drama,None,None,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,criminal pleads insanity admitted mental institution rebels oppressive nurse rallies scared patients,['Drama']
21,Harakiri,-1962,Not Rated,133 min,"Action, Drama, Mystery",8.7,"36,176","36,176",Masaki Kobayashi,"[Tatsuya Nakadai, Akira Ishihama, Shima Iwashita, Tetsurô Tanba]","When a ronin requesting seppuku at a feudal lords palace is told of the brutal suicide of another ronin who previously visited, he reveals how their pasts are intertwined - and in doing so challenges the clans integrity.",Action,Drama,Mystery,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,ronin requesting seppuku feudal lords palace told brutal suicide another ronin previously visited reveals pasts intertwined challenges clans integrity,"['Action', ' Drama', ' Mystery']"
22,Parasite,-2019,R,132 min,"Comedy, Drama, Thriller",8.6,"4,52,021","4,52,021",Bong Joon Ho,"[Kang-ho Song, Sun-kyun Lee, Yeo-jeong Jo, Woo-sik Choi]",Greed and class discrimination threaten the newly formed symbiotic relationship between the wealthy Park family and the destitute Kim clan.,Comedy,Drama,Thriller,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,greed class discrimination threaten newly formed symbiotic relationship wealthy park family destitute kim clan,"['Comedy', ' Drama', ' Thriller']"
23,Interstellar,-2014,PG-13,169 min,"Adventure, Drama, SciFi",8.6,"14,36,113","14,36,113",Christopher Nolan,"[Matthew McConaughey, Anne Hathaway, Jessica Chastain, Mackenzie Foy]",A team of explorers travel through a wormhole in space in an attempt to ensure humanitys survival.,Adventure,Drama,SciFi,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,team explorers travel wormhole space attempt ensure humanitys survival,"['Adventure', ' Drama', ' SciFi']"
24,City of God,-2002,R,130 min,"Crime, Drama",8.6,"6,83,251","6,83,251",Fernando Meirelles,"[Kátia Lund, Alexandre Rodrigues, Leandro Firmino, Matheus Nachtergaele]","In the slums of Rio, two kids paths diverge as one struggles to become a photographer and the other a kingpin.",Crime,Drama,None,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,slums rio two kids paths diverge one struggles become photographer kingpin,"['Crime', ' Drama']"
25,Spirited Away,-2001,PG,125 min,"Animation, Adventure, Family",8.6,"6,21,248","6,21,248",Hayao Miyazaki,"[Daveigh Chase, Suzanne Pleshette, Miyu Irino, Rumi Hiiragi]","During her familys move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods, witches, and spirits, and where humans are changed into beasts.",Animation,Adventure,Family,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,familys move suburbs sullen year old girl wanders world ruled gods witches spirits humans changed beasts,"['Animation', ' Adventure', ' Family']"
26,Saving Private Ryan,-1998,R,169 min,"Drama, War",8.6,"11,97,347","11,97,347",Steven Spielberg,"[Tom Hanks, Matt Damon, Tom Sizemore, Edward Burns]","Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action.",Drama,War,None,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,following normandy landings group u soldiers go behind enemy lines retrieve paratrooper whose brothers killed action,"['Drama', ' War']"
27,The Green Mile,-1999,R,189 min,"Crime, Drama, Fantasy",8.6,"11,05,701","11,05,701",Frank Darabont,"[Tom Hanks, Michael Clarke Duncan, David Morse, Bonnie Hunt]","The lives of guards on Death Row are affected by one of their charges: a black man accused of child murder and rape, yet who has a mysterious gift.",Crime,Drama,Fantasy,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,lives guards death row affected one charges black man accused child murder rape yet mysterious gift,"['Crime', ' Drama', ' Fantasy']"
28,Life Is Beautiful,-1997,PG-13,116 min,"Comedy, Drama, Romance",8.6,"6,02,090","6,02,090",Roberto Benigni,"[Roberto Benigni, Nicoletta Braschi, Giorgio Cantarini, Giustino Durano]","When an open-minded Jewish librarian and his son become victims of the Holocaust, he uses a perfect mixture of will, humor, and imagination to protect his son from the dangers around their camp.",Comedy,Drama,Romance,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,open minded jewish librarian son become victims holocaust uses perfect mixture humor imagination protect son dangers around camp,"['Comedy', ' Drama', ' Romance']"
29,Se7en,-1995,R,127 min,"Crime, Drama, Mystery",8.6,"13,93,936","13,93,936",David Fincher,"[Morgan Freeman, Brad Pitt, Kevin Spacey, Andrew Kevin Walker]","Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives.",Crime,Drama,Mystery,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,two detectives rookie veteran hunt serial killer uses seven deadly sins motives,"['Crime', ' Drama', ' Mystery']"
30,The Silence of the Lambs,-1991,R,118 min,"Crime, Drama, Thriller",8.6,"12,26,912","12,26,912",Jonathan Demme,"[Jodie Foster, Anthony Hopkins, Lawrence A. Bonney, Kasi Lemmons]","A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims.",Crime,Drama,Thriller,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,young f b cadet must receive help incarcerated manipulative cannibal killer help catch another serial killer madman skins victims,"['Crime', ' Drama', ' Thriller']"
31,Star Wars: Episode IV - A New Hope,-1977,PG,121 min,"Action, Adventure, Fantasy",8.6,"11,99,357","11,99,357",George Lucas,"[Mark Hamill, Harrison Ford, Carrie Fisher, Alec Guinness]","Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empires world-destroying battle station, while also attempting to rescue Princess Leia from the mysterious Darth Vader.",Action,Adventure,Fantasy,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,luke skywalker joins forces jedi knight cocky pilot wookiee two droids save galaxy empires world destroying battle station also attempting rescue princess leia mysterious darth vader,"['Action', ' Adventure', ' Fantasy']"
32,Seven Samurai,-1954,Not Rated,207 min,"Action, Adventure, Drama",8.6,"3,06,035","3,06,035",Akira Kurosawa,"[Toshirô Mifune, Takashi Shimura, Keiko Tsushima, Yukiko Shimazaki]",A poor village under attack by bandits recruits seven unemployed samurai to help them defend themselves.,Action,Adventure,Drama,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,poor village attack bandits recruits seven unemployed samurai help defend,"['Action', ' Adventure', ' Drama']"
33,Its a Wonderful Life,-1946,Passed,130 min,"Drama, Family, Fantasy",8.6,"3,86,358","3,86,358",Frank Capra,"[James Stewart, Donna Reed, Lionel Barrymore, Thomas Mitchell]",An angel is sent from Heaven to help a desperately frustrated businessman by showing him what life would have been like if he had never existed.,Drama,Family,Fantasy,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,angel sent heaven help desperately frustrated businessman showing life would like never existed,"['Drama', ' Family', ' Fantasy']"
34,Joker,-2019,R,122 min,"Crime, Drama, Thriller",8.5,"8,32,286","8,32,286",Todd Phillips,"[Joaquin Phoenix, Robert De Niro, Zazie Beetz, Frances Conroy]","In Gotham City, mentally troubled comedian Arthur Fleck is disregarded and mistreated by society. He then embarks on a downward spiral of revolution and bloody crime. This path brings him face-to-face with his alter-ego: the Joker.",Crime,Drama,Thriller,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,gotham city mentally troubled comedian arthur fleck disregarded mistreated society embarks downward spiral revolution bloody crime path brings face face alter ego joker,"['Crime', ' Drama', ' Thriller']"
35,Ayla: The Daughter of War,-2017,,125 min,"Biography, Drama, History",8.5,31922,31922,Can Ulkay,"[Çetin Tekindor, Ismail Hacioglu, Kyung-jin Lee, Kim Seol]","In 1950, amid-st the ravages of the Korean War, Sergeant Süleyman stumbles upon a half-frozen little girl, with no parents and no help in sight. Frantic, scared and on the verge of death
",Biography,Drama,History,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,amid st ravages korean war sergeant leyman stumbles upon half frozen little girl parents help sight frantic scared verge death,"['Biography', ' Drama', ' History']"
36,Whiplash,-2014,R,106 min,"Drama, Music",8.5,"6,85,605","6,85,605",Damien Chazelle,"[Miles Teller, J.K. Simmons, Melissa Benoist, Paul Reiser]",A promising young drummer enrolls at a cut-throat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a students potential.,Drama,Music,None,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,promising young drummer enrolls cut throat music conservatory dreams greatness mentored instructor stop nothing realize students potential,"['Drama', ' Music']"
37,The Intouchables,-2011,R,112 min,"Biography, Comedy, Drama",8.5,"7,32,833","7,32,833",Olivier Nakache,"[Éric Toledano, François Cluzet, Omar Sy, Anne Le Ny]","After he becomes a quadriplegic from a paragliding accident, an aristocrat hires a young man from the projects to be his caregiver.",Biography,Comedy,Drama,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,becomes quadriplegic paragliding accident aristocrat hires young man projects caregiver,"['Biography', ' Comedy', ' Drama']"
38,The Prestige,-2006,PG-13,130 min,"Drama, Mystery, SciFi",8.5,"11,47,800","11,47,800",Christopher Nolan,"[Christian Bale, Hugh Jackman, Scarlett Johansson, Michael Caine]","After a tragic accident, two stage magicians engage in a battle to create the ultimate illusion while sacrificing everything they have to outwit each other.",Drama,Mystery,SciFi,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,tragic accident two stage magicians engage battle create ultimate illusion sacrificing everything outwit,"['Drama', ' Mystery', ' SciFi']"
39,The Departed,-2006,R,151 min,"Crime, Drama, Thriller",8.5,"11,53,651","11,53,651",Martin Scorsese,"[Leonardo DiCaprio, Matt Damon, Jack Nicholson, Mark Wahlberg]",An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.,Crime,Drama,Thriller,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,undercover cop mole police attempt identify infiltrating irish gang south boston,"['Crime', ' Drama', ' Thriller']"
40,The Pianist,-2002,R,150 min,"Biography, Drama, Music",8.5,"7,03,598","7,03,598",Roman Polanski,"[Adrien Brody, Thomas Kretschmann, Frank Finlay, Emilia Fox]",A Polish Jewish musician struggles to survive the destruction of the Warsaw ghetto of World War II.,Biography,Drama,Music,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,polish jewish musician struggles survive destruction warsaw ghetto world war ii,"['Biography', ' Drama', ' Music']"
41,Gladiator,-2000,R,155 min,"Action, Adventure, Drama",8.5,"13,01,233","13,01,233",Ridley Scott,"[Russell Crowe, Joaquin Phoenix, Connie Nielsen, Oliver Reed]",A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.,Action,Adventure,Drama,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,former roman general sets exact vengeance corrupt emperor murdered family sent slavery,"['Action', ' Adventure', ' Drama']"
42,American History X,-1998,R,119 min,Drama,8.5,"10,09,352","10,09,352",Tony Kaye,"[Edward Norton, Edward Furlong, ""Beverly DAngelo"", Jennifer Lien]",A former neo-nazi skinhead tries to prevent his younger brother from going down the same wrong path that he did.,Drama,None,None,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,former neo nazi skinhead tries prevent younger brother going wrong path,['Drama']
43,The Usual Suspects,-1995,R,106 min,"Crime, Mystery, Thriller",8.5,"9,63,953","9,63,953",Bryan Singer,"[Kevin Spacey, Gabriel Byrne, Chazz Palminteri, Stephen Baldwin]","A sole survivor tells of the twisty events leading up to a horrific gun battle on a boat, which began when five criminals met at a seemingly random police lineup.",Crime,Mystery,Thriller,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,sole survivor tells twisty events leading horrific gun battle boat began five criminals met seemingly random police lineup,"['Crime', ' Mystery', ' Thriller']"
44,Léon: The Professional,-1994,R,110 min,"Action, Crime, Drama",8.5,"10,02,126","10,02,126",Luc Besson,"[Jean Reno, Gary Oldman, Natalie Portman, Danny Aiello]","Mathilda, a 12-year-old girl, is reluctantly taken in by Léon, a professional assassin, after her family is murdered. An unusual relationship forms as she becomes his protégée and learns the assassins trade.",Action,Crime,Drama,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,mathilda year old girl reluctantly taken l professional assassin family murdered unusual relationship forms becomes prot g e learns assassins trade,"['Action', ' Crime', ' Drama']"
45,The Lion King,-1994,G,88 min,"Animation, Adventure, Drama",8.5,"9,12,456","9,12,456",Roger Allers,"[Rob Minkoff, Matthew Broderick, Jeremy Irons, James Earl Jones]","Lion prince Simba and his father are targeted by his bitter uncle, who wants to ascend the throne himself.",Animation,Adventure,Drama,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,lion prince simba father targeted bitter uncle wants ascend throne,"['Animation', ' Adventure', ' Drama']"
46,Terminator 2: Judgment Day,-1991,R,137 min,"Action, SciFi",8.5,"9,70,568","9,70,568",James Cameron,"[Arnold Schwarzenegger, Linda Hamilton, Edward Furlong, Robert Patrick]","A cyborg, identical to the one who failed to kill Sarah Connor, must now protect her teenage son, John Connor, from a more advanced and powerful cyborg.",Action,SciFi,None,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,cyborg identical one failed kill sarah connor must protect teenage son john connor advanced powerful cyborg,"['Action', ' SciFi']"
47,Cinema Paradiso,-1988,R,155 min,Drama,8.5,"2,21,253","2,21,253",Giuseppe Tornatore,"[Philippe Noiret, Enzo Cannavale, Antonella Attili, Isa Danieli]",A filmmaker recalls his childhood when falling in love with the pictures at the cinema of his home village and forms a deep friendship with the cinemas projectionist.,Drama,None,None,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,filmmaker recalls childhood falling love pictures cinema home village forms deep friendship cinemas projectionist,['Drama']
48,Grave of the Fireflies,-1988,Not Rated,89 min,"Animation, Drama, War",8.5,"2,23,065","2,23,065",Isao Takahata,"[Tsutomu Tatsumi, Ayano Shiraishi, Akemi Yamaguchi, Yoshiko Shinohara]",A young boy and his little sister struggle to survive in Japan during World War II.,Animation,Drama,War,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,young boy little sister struggle survive japan world war ii,"['Animation', ' Drama', ' War']"
49,Back to the Future,-1985,PG,116 min,"Adventure, Comedy, SciFi",8.5,"10,19,960","10,19,960",Robert Zemeckis,"[Michael J. Fox, Christopher Lloyd, Lea Thompson, Crispin Glover]","Marty McFly, a 17-year-old high school student, is accidentally sent thirty years into the past in a time-traveling DeLorean invented by his close friend, the eccentric scientist Doc Brown.",Adventure,Comedy,SciFi,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,marty mcfly year old high school student accidentally sent thirty years past time traveling delorean invented close friend eccentric scientist doc brown,"['Adventure', ' Comedy', ' SciFi']"
50,Anand,-1971,Not Rated,122 min,"Drama, Musical",8.5,"27,408","27,408",Hrishikesh Mukherjee,"[Rajesh Khanna, Amitabh Bachchan, Sumita Sanyal, Ramesh Deo]","The story of a terminally ill man who wishes to live life to the fullest before the inevitable occurs, as told by his best friend.",Drama,Musical,None,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,story terminally ill man wishes live life fullest inevitable occurs told best friend,"['Drama', ' Musical']"
51,Once Upon a Time in the West,-1968,PG-13,165 min,Western,8.5,"2,93,261","2,93,261",Sergio Leone,"[Henry Fonda, Charles Bronson, Claudia Cardinale, Jason Robards]",A mysterious stranger with a harmonica joins forces with a notorious desperado to protect a beautiful widow from a ruthless assassin working for the railroad.,Western,None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,mysterious stranger harmonica joins forces notorious desperado protect beautiful widow ruthless assassin working railroad,['Western']
52,Psycho,-1960,R,109 min,"Horror, Mystery, Thriller",8.5,"5,82,844","5,82,844",Alfred Hitchcock,"[Anthony Perkins, Janet Leigh, Vera Miles, John Gavin]","A Phoenix secretary embezzles forty thousand dollars from her employers client, goes on the run, and checks into a remote motel run by a young man under the domination of his mother.",Horror,Mystery,Thriller,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,phoenix secretary embezzles forty thousand dollars employers client goes run checks remote motel run young man domination mother,"['Horror', ' Mystery', ' Thriller']"
53,Casablanca,-1942,PG,102 min,"Drama, Romance, War",8.5,"5,07,433","5,07,433",Michael Curtiz,"[Humphrey Bogart, Ingrid Bergman, Paul Henreid, Claude Rains]",A cynical American expatriate struggles to decide whether or not he should help his former lover and her fugitive husband escape French Morocco.,Drama,Romance,War,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cynical american expatriate struggles decide whether help former lover fugitive husband escape french morocco,"['Drama', ' Romance', ' War']"
