,Title,Relase,Audience Rating,Runtime,Genre,IMDB Rating,Votes,Box Office Earnings,Director,Actors,Description
35,Persona,-1966,Not Rated,83 min,"Drama, Thriller            ",8.1,"97,919","97,919",Ingmar Bergman,"['Bibi Andersson', 'Liv Ullmann', 'Margaretha Krook', 'Gunnar Björnstrand']",A nurse is put in charge of a mute actress and finds that their personae are melding together.
36,Andrei Rublev,-1966,R,205 min,"Biography, Drama, History            ",8.1,"44,358","44,358",Andrei Tarkovsky,"['Anatoliy Solonitsyn', 'Ivan Lapikov', 'Nikolay Grinko', 'Nikolay Sergeev']","The life, times and afflictions of the fifteenth-century Russian iconographer St. Andrei Rublev."
37,The Battle of Algiers,-1966,Not Rated,121 min,"Drama, War            ",8.1,"50,648","50,648",Gillo Pontecorvo,"['Brahim Hadjadj', 'Jean Martin', 'Yacef Saadi', 'Samia Kerbash']","In the 1950s, fear and violence escalate as the people of Algiers fight for independence from the French government."
38,The Exterminating Angel,-1962,Not Rated,95 min,"Drama, Fantasy            ",8.1,"28,520","28,520",Luis Buñuel,"['Silvia Pinal', 'Jacqueline Andere', 'Enrique Rambal', 'José Baviera']",The guests at an upper-class dinner party find themselves unable to leave.
39,What Ever Happened to Baby Jane?,-1962,Passed,134 min,"Drama, Horror, Thriller            ",8.1,"48,521","48,521",Robert Aldrich,"['Bette Davis', 'Joan Crawford', 'Victor Buono', 'Wesley Addy']",A former child star torments her paraplegic sister in their decaying Hollywood mansion.
40,Sanjuro,-1962,Not Rated,96 min,"Action, Comedy, Crime            ",8.1,"31,083","31,083",Akira Kurosawa,"['Toshirô Mifune', 'Tatsuya Nakadai', 'Keiju Kobayashi', 'Yûnosuke Itô']","A crafty samurai helps a young man and his fellow clansmen save his uncle, who has been framed and imprisoned by a corrupt superintendent."
41,The Man Who Shot Liberty Valance,-1962,Not Rated,123 min,"Drama, Western            ",8.1,"66,912","66,912",John Ford,"['James Stewart', 'John Wayne', 'Vera Miles', 'Lee Marvin']",A senator returns to a western town for the funeral of an old friend and tells the story of his origins.
42,Ivan's Childhood,-1962,Not Rated,84 min,"Drama, War            ",8.1,"29,932","29,932",Andrei Tarkovsky,"['Eduard Abalov', 'Nikolay Burlyaev', 'Valentin Zubkov', 'Evgeniy Zharikov']","In WW2, twelve year old Soviet orphan Ivan Bondarev works for the Soviet army as a scout behind the German lines and strikes a friendship with three sympathetic Soviet officers."
43,The Virgin Spring,-1960,Not Rated,89 min,Drama            ,8.1,"25,758","25,758",Ingmar Bergman,"['Max von Sydow', 'Birgitta Valberg', 'Gunnel Lindblom', 'Birgitta Pettersson']","An innocent yet pampered young virgin and her family's pregnant and jealous servant set out to deliver candles to church, but only one returns from events that transpire in the woods along the way."
44,Inherit the Wind,-1960,Passed,128 min,"Biography, Drama, History            ",8.1,"26,483","26,483",Stanley Kramer,"['Spencer Tracy', 'Fredric March', 'Gene Kelly', 'Dick York']","Based on a real-life case in 1925, two great lawyers argue the case for and against a science teacher accused of the crime of teaching evolution."
45,The 400 Blows,-1959,Not Rated,99 min,"Crime, Drama            ",8.1,"1,01,123","1,01,123",François Truffaut,"['Jean-Pierre Léaud', 'Albert Rémy', 'Claire Maurier', 'Guy Decomble']","A young boy, left without attention, delves into a life of petty crime."
46,Ben-Hur,-1959,G,212 min,"Adventure, Drama, History            ",8.1,"2,13,912","2,13,912",William Wyler,"['Charlton Heston', 'Jack Hawkins', 'Stephen Boyd', 'Haya Harareet']","After a Jewish prince is betrayed and sent into slavery by a Roman friend, he regains his freedom and comes back for revenge."
47,The Hidden Fortress,-1958,Not Rated,126 min,"Adventure, Drama            ",8.1,"32,861","32,861",Akira Kurosawa,"['Toshirô Mifune', 'Misa Uehara', 'Minoru Chiaki', 'Kamatari Fujiwara']","Lured by gold, two greedy peasants escort a man and woman across enemy lines. However, they do not realize that their companions are actually a princess and her general."
48,Sweet Smell of Success,-1957,Approved,96 min,"Drama, Film-Noir            ",8.1,"27,059","27,059",Alexander Mackendrick,"['Burt Lancaster', 'Tony Curtis', 'Susan Harrison', 'Martin Milner']",Powerful but unethical Broadway columnist J.J. Hunsecker coerces unscrupulous press agent Sidney Falco into breaking up his sister's romance with a jazz musician.
49,Nights of Cabiria,-1957,Not Rated,110 min,Drama            ,8.1,"41,634","41,634",Federico Fellini,"['Giulietta Masina', 'François Périer', 'Franca Marzi', 'Dorian Gray']",A waifish prostitute wanders the streets of Rome looking for true love but finds only heartbreak.
50,Throne of Blood,-1957,Not Rated,110 min,"Drama, History            ",8.1,"44,317","44,317",Akira Kurosawa,"['Toshirô Mifune', 'Minoru Chiaki', 'Isuzu Yamada', 'Takashi Shimura']","A war-hardened general, egged on by his ambitious wife, works to fulfill a prophecy that he would become lord of Spider's Web Castle."
51,The Bridge on the River Kwai,-1957,PG,161 min,"Adventure, Drama, War            ",8.1,"1,97,718","1,97,718",David Lean,"['William Holden', 'Alec Guinness', 'Jack Hawkins', 'Sessue Hayakawa']","British POWs are forced to build a railway bridge across the river Kwai for their Japanese captors, not knowing that the allied forces are planning to destroy it."
52,On the Waterfront,-1954,Approved,108 min,"Crime, Drama, Thriller            ",8.1,"1,37,637","1,37,637",Elia Kazan,"['Marlon Brando', 'Karl Malden', 'Lee J. Cobb', 'Rod Steiger']",An ex-prize fighter turned longshoreman struggles to stand up to his corrupt union bosses.
53,The Wages of Fear,-1953,Not Rated,131 min,"Adventure, Drama, Thriller            ",8.1,"52,546","52,546",Henri-Georges Clouzot,"['Yves Montand', 'Charles Vanel', 'Peter van Eyck', 'Folco Lulli']","In a decrepit South American village, four men are hired to transport an urgent nitroglycerine shipment without the equipment that would make it safe."
54,Ace in the Hole,-1951,Approved,111 min,"Drama, Film-Noir            ",8.1,"30,243","30,243",Billy Wilder,"['Kirk Douglas', 'Jan Sterling', 'Robert Arthur', 'Porter Hall']","A frustrated former big-city journalist now stuck working for an Albuquerque newspaper exploits a story about a man trapped in a cave to rekindle his career, but the situation quickly escalates into an out-of-control circus."
55,White Heat,-1949,Not Rated,114 min,"Action, Crime, Drama            ",8.1,"28,790","28,790",Raoul Walsh,"['James Cagney', 'Virginia Mayo', ""Edmond O'Brien"", 'Margaret Wycherly']",A psychopathic criminal with a mother complex makes a daring break from prison and leads his old gang in a chemical plant payroll heist.
56,The Third Man,-1949,Approved,93 min,"Film-Noir, Mystery, Thriller            ",8.1,"1,54,489","1,54,489",Carol Reed,"['Orson Welles', 'Joseph Cotten', 'Alida Valli', 'Trevor Howard']","Pulp novelist Holly Martins travels to shadowy, postwar Vienna, only to find himself investigating the mysterious death of an old friend, Harry Lime."
57,The Red Shoes,-1948,Not Rated,135 min,"Drama, Music, Romance            ",8.1,"29,629","29,629",Michael Powell,"['Emeric Pressburger', 'Anton Walbrook', 'Marius Goring', 'Moira Shearer']",A young ballet dancer is torn between the man she loves and her pursuit to become a prima ballerina.
58,The Shop Around the Corner,-1940,Not Rated,99 min,"Comedy, Drama, Romance            ",8.1,"26,618","26,618",Ernst Lubitsch,"['Margaret Sullavan', 'James Stewart', 'Frank Morgan', 'Joseph Schildkraut']","Two employees at a gift shop can barely stand each other, without realizing that they are falling in love through the post as each other's anonymous pen pal."
59,Rebecca,-1940,Approved,130 min,"Drama, Mystery, Romance            ",8.1,"1,18,545","1,18,545",Alfred Hitchcock,"['Laurence Olivier', 'Joan Fontaine', 'George Sanders', 'Judith Anderson']",A self-conscious woman juggles adjusting to her new role as an aristocrat's wife and avoiding being intimidated by his first wife's spectral presence.
60,Mr. Smith Goes to Washington,-1939,Passed,129 min,"Comedy, Drama            ",8.1,"1,04,005","1,04,005",Frank Capra,"['James Stewart', 'Jean Arthur', 'Claude Rains', 'Edward Arnold']","A naive man is appointed to fill a vacancy in the United States Senate. His plans promptly collide with political corruption, but he doesn't back down."
61,Gone with the Wind,-1939,Passed,238 min,"Drama, History, Romance            ",8.1,"2,82,110","2,82,110",Victor Fleming,"['George Cukor', 'Sam Wood', 'Clark Gable', 'Vivien Leigh']",A manipulative woman and a roguish man conduct a turbulent romance during the American Civil War and Reconstruction periods.
62,La Grande Illusion,-1937,Not Rated,113 min,"Drama, War            ",8.1,"33,052","33,052",Jean Renoir,"['Jean Gabin', 'Dita Parlo', 'Pierre Fresnay', 'Erich von Stroheim']","During WWI, two French soldiers are captured and imprisoned in a German P.O.W. camp. Several escape attempts follow until they are eventually sent to a seemingly inescapable fortress."
63,It Happened One Night,-1934,Approved,105 min,"Comedy, Romance            ",8.1,"90,810","90,810",Frank Capra,"['Clark Gable', 'Claudette Colbert', 'Walter Connolly', 'Roscoe Karns']",A spoiled heiress running away from her family is helped by a man who is actually a reporter in need of a story.
64,The Passion of Joan of Arc,-1928,Passed,114 min,"Biography, Drama, History            ",8.1,"45,420","45,420",Carl Theodor Dreyer,"['Maria Falconetti', 'Eugene Silvain', 'André Berley', 'Maurice Schutz']","In 1431, Jeanne d'Arc is placed on trial on charges of heresy. The ecclesiastical jurists attempt to force Jeanne to recant her claims of holy visions."
65,Sunrise,-1927,Passed,94 min,"Drama, Romance            ",8.1,"45,850","45,850",F.W. Murnau,"[""George O'Brien"", 'Janet Gaynor', 'Margaret Livingston', 'Bodil Rosing']",An allegorical tale about a man fighting the good and evil within him. Both sides are made flesh - one a sophisticated woman he is attracted to and the other his wife.
66,The General,-1926,Passed,67 min,"Action, Adventure, Comedy            ",8.1,"78,214","78,214",Clyde Bruckman,"['Buster Keaton', 'Buster Keaton', 'Marion Mack', 'Glen Cavender']","When Union spies steal an engineer's beloved locomotive, he pursues it single-handedly and straight through enemy lines."
67,The Cabinet of Dr. Caligari,-1920,Not Rated,67 min,"Fantasy, Horror, Mystery            ",8.1,"55,189","55,189",Robert Wiene,"['Werner Krauss', 'Conrad Veidt', 'Friedrich Feher', 'Lil Dagover']","Hypnotist Dr. Caligari uses a somnambulist, Cesare, to commit murders."
68,Shoplifters,-2018,R,121 min,"Crime, Drama            ",8,"55,337","55,337",Hirokazu Koreeda,"['Lily Franky', 'Sakura Andô', 'Kirin Kiki', 'Mayu Matsuoka']",A family of small-time crooks take in a child they find outside in the cold.
69,Badhaai Ho,-2018,Not Rated,124 min,"Comedy, Drama            ",8,"25,871","25,871",Amit Ravindernath Sharma,"['Ayushmann Khurrana', 'Neena Gupta', 'Gajraj Rao', 'Sanya Malhotra']",A man is embarrassed when he finds out his mother is pregnant.
70,Marriage Story,-2019,R,137 min,"Comedy, Drama, Romance            ",8,"2,22,299","2,22,299",Noah Baumbach,"['Adam Driver', 'Scarlett Johansson', 'Julia Greer', 'Azhy Robertson']",Noah Baumbach's incisive and compassionate look at a marriage breaking up and a family staying together.
71,Togo,-2019,PG,113 min,"Adventure, Biography, Drama            ",8,"29,622","29,622",Ericson Core,"['Willem Dafoe', 'Julianne Nicholson', 'Christopher Heyerdahl', 'Richard Dormer']","The story of Togo, the sled dog who led the 1925 serum run yet was considered by most to be too small and weak to lead such an intense race."
72,Airlift,-2016,Not Rated,130 min,"Drama, History            ",8,"51,565","51,565",Raja Menon,"['Akshay Kumar', 'Nimrat Kaur', 'Kumud Mishra', 'Prakash Belawadi']","When Iraq invades Kuwait in August 1990, a callous Indian businessman becomes the spokesperson for more than 170,000 stranded countrymen."
73,Bajrangi Bhaijaan,-2015,Not Rated,163 min,"Action, Comedy, Drama            ",8,"69,338","69,338",Kabir Khan,"['Salman Khan', 'Harshaali Malhotra', 'Nawazuddin Siddiqui', 'Kareena Kapoor']",An Indian man with a magnanimous heart takes a young mute Pakistani girl back to her homeland to reunite her with her family.
74,Baby,(I) (2015),Not Rated,159 min,"Action, Thriller            ",8,"51,370","51,370",Neeraj Pandey,"['Akshay Kumar', 'Danny Denzongpa', 'Rana Daggubati', 'Taapsee Pannu']","An elite counter-intelligence unit learns of a plot, masterminded by a maniacal madman. With the clock ticking, it's up to them to track the terrorists' international tentacles and prevent them from striking at the heart of India."
75,La La Land,-2016,PG-13,128 min,"Comedy, Drama, Music            ",8,"4,84,656","4,84,656",Damien Chazelle,"['Ryan Gosling', 'Emma Stone', 'Rosemarie DeWitt', 'J.K. Simmons']","While navigating their careers in Los Angeles, a pianist and an actress fall in love while attempting to reconcile their aspirations for the future."
76,Lion,-2016,PG-13,118 min,"Biography, Drama            ",8,"2,05,107","2,05,107",Garth Davis,"['Dev Patel', 'Nicole Kidman', 'Rooney Mara', 'Sunny Pawar']","A five-year-old Indian boy is adopted by an Australian couple after getting lost hundreds of kilometers from home. 25 years later, he sets out to find his lost family."
77,The Martian,-2015,PG-13,144 min,"Adventure, Drama, Sci-Fi            ",8,"7,36,832","7,36,832",Ridley Scott,"['Matt Damon', 'Jessica Chastain', 'Kristen Wiig', 'Kate Mara']","An astronaut becomes stranded on Mars after his team assume him dead, and must rely on his ingenuity to find a way to signal to Earth that he is alive."
78,Zootopia,-2016,PG,108 min,"Animation, Adventure, Comedy            ",8,"4,18,544","4,18,544",Byron Howard,"['Rich Moore', 'Jared Bush', 'Ginnifer Goodwin', 'Jason Bateman']","In a city of anthropomorphic animals, a rookie bunny cop and a cynical con artist fox must work together to uncover a conspiracy."
79,The Tale of The Princess Kaguya,-2013,PG,137 min,"Animation, Adventure, Drama            ",8,"35,778","35,778",Isao Takahata,"['Chloë Grace Moretz', 'James Caan', 'Mary Steenburgen', 'James Marsden']","Found inside a shining stalk of bamboo by an old bamboo cutter and his wife, a tiny girl grows rapidly into an exquisite young lady. The mysterious young princess enthralls all who encounter her, but ultimately she must confront her fate, the punishment for her crime."
80,Wonder,(I) (2017),PG,113 min,"Drama, Family            ",8,"1,31,928","1,31,928",Stephen Chbosky,"['Jacob Tremblay', 'Owen Wilson', 'Izabela Vidovic', 'Julia Roberts']","Based on the New York Times bestseller, this movie tells the incredibly inspiring and heartwarming story of August Pullman, a boy with facial differences who enters the fifth grade, attending a mainstream elementary school for the first time."
81,Special 26,-2013,Not Rated,144 min,"Crime, Drama, Thriller            ",8,"49,169","49,169",Neeraj Pandey,"['Akshay Kumar', 'Anupam Kher', 'Manoj Bajpayee', 'Jimmy Sheirgill']",A gang of con-men rob prominent rich businessmen and politicians by posing as C.B.I and income tax officers.
82,Short Term 12,-2013,R,96 min,Drama            ,8,"79,118","79,118",Destin Daniel Cretton,"['Brie Larson', 'Frantz Turner', 'John Gallagher Jr.', 'Kaitlyn Dever']",A 20-something supervising staff member of a residential treatment facility navigates the troubled waters of that world alongside her co-worker and longtime boyfriend.
83,The Raid 2,-2014,R,150 min,"Action, Crime, Thriller            ",8,"1,11,540","1,11,540",Gareth Evans,"['Iko Uwais', 'Yayan Ruhian', 'Arifin Putra', 'Oka Antara']","Only a short time after the first raid, Rama goes undercover with the thugs of Jakarta and plans to bring down the syndicate and uncover the corruption within his police force."
84,The Imitation Game,-2014,PG-13,114 min,"Biography, Drama, Thriller            ",8,"6,64,007","6,64,007",Morten Tyldum,"['Benedict Cumberbatch', 'Keira Knightley', 'Matthew Goode', 'Allen Leech']","During World War II, the English mathematical genius Alan Turing tries to crack the German Enigma code with help from fellow mathematicians."
85,Guardians of the Galaxy,-2014,PG-13,121 min,"Action, Adventure, Comedy            ",8,"10,19,260","10,19,260",James Gunn,"['Chris Pratt', 'Vin Diesel', 'Bradley Cooper', 'Zoe Saldana']",A group of intergalactic criminals must pull together to stop a fanatical warrior with plans to purge the universe.
86,X-Men: Days of Future Past,-2014,PG-13,132 min,"Action, Adventure, Sci-Fi            ",8,"6,48,305","6,48,305",Bryan Singer,"['Patrick Stewart', 'Ian McKellen', 'Hugh Jackman', 'James McAvoy']",The X-Men send Wolverine to the past in a desperate effort to change history and prevent an event that results in doom for both humans and mutants.
87,Blade Runner 2049,-2017,R,164 min,"Action, Drama, Mystery            ",8,"4,36,796","4,36,796",Denis Villeneuve,"['Harrison Ford', 'Ryan Gosling', 'Ana de Armas', 'Dave Bautista']","Young Blade Runner K's discovery of a long-buried secret leads him to track down former Blade Runner Rick Deckard, who's been missing for thirty years."
88,Her,-2013,R,126 min,"Drama, Romance, Sci-Fi            ",8,"5,20,163","5,20,163",Spike Jonze,"['Joaquin Phoenix', 'Amy Adams', 'Scarlett Johansson', 'Rooney Mara']","In a near future, a lonely writer develops an unlikely relationship with an operating system designed to meet his every need."
89,Bohemian Rhapsody,-2018,PG-13,134 min,"Biography, Drama, Music            ",8,"4,30,186","4,30,186",Bryan Singer,"['Rami Malek', 'Lucy Boynton', 'Gwilym Lee', 'Ben Hardy']","The story of the legendary British rock band Queen and lead singer Freddie Mercury, leading up to their famous performance at Live Aid (1985)."
90,The Revenant,-2015,R,156 min,"Action, Adventure, Drama            ",8,"6,80,696","6,80,696",Alejandro G. Iñárritu,"['Leonardo DiCaprio', 'Tom Hardy', 'Will Poulter', 'Domhnall Gleeson']",A frontiersman on a fur trading expedition in the 1820s fights for survival after being mauled by a bear and left for dead by members of his own hunting team.
91,The Perks of Being a Wallflower,-2012,PG-13,103 min,"Drama, Romance            ",8,"4,49,227","4,49,227",Stephen Chbosky,"['Logan Lerman', 'Emma Watson', 'Ezra Miller', 'Paul Rudd']",An introvert freshman is taken under the wings of two seniors who welcome him to the real world.
