,Title,Relase,Audience Rating,Runtime,Genre,IMDB Rating,Votes,Box Office Earnings,Director,Actors,Description
24,Finding Neverland,-2004,PG,106 min,"Biography, Drama, Family            ",7.7,"1,95,925","1,95,925",Marc Forster,"['Johnny Depp', 'Kate Winslet', 'Julie Christie', 'Radha Mitchell']",The story of Sir J.M. Barrie's friendship with a family who inspired him to create Peter Pan.
25,Good Bye Lenin!,-2003,R,121 min,"Comedy, Drama, Romance            ",7.7,"1,35,255","1,35,255",Wolfgang Becker,"['Daniel Brühl', 'Katrin Saß', 'Chulpan Khamatova', 'Florian Lukas']","In 1990, to protect his fragile mother from a fatal shock after a long coma, a young man must keep her from learning that her beloved nation of East Germany as she knew it has disappeared."
26,In America,-2002,PG-13,105 min,Drama            ,7.7,"39,988","39,988",Jim Sheridan,"['Paddy Considine', 'Samantha Morton', 'Djimon Hounsou', 'Sarah Bolger']",A family of Irish immigrants adjust to life on the mean streets of Hell's Kitchen while also grieving the death of a child.
27,I Am Sam,-2001,PG-13,132 min,Drama            ,7.7,"1,40,745","1,40,745",Jessie Nelson,"['Sean Penn', 'Michelle Pfeiffer', 'Dakota Fanning', 'Dianne Wiest']",A mentally handicapped man fights for custody of his 7-year-old daughter and in the process teaches his cold-hearted lawyer the value of love and family.
28,Adaptation.,-2002,R,115 min,"Comedy, Drama            ",7.7,"1,73,253","1,73,253",Spike Jonze,"['Nicolas Cage', 'Meryl Streep', 'Chris Cooper', 'Tilda Swinton']",A lovelorn screenwriter becomes desperate as he tries and fails to adapt 'The Orchid Thief' by Susan Orlean for the screen.
29,Black Hawk Down,-2001,R,144 min,"Drama, History, War            ",7.7,"3,56,885","3,56,885",Ridley Scott,"['Josh Hartnett', 'Ewan McGregor', 'Tom Sizemore', 'Eric Bana']",160 elite U.S. soldiers drop into Somalia to capture two top lieutenants of a renegade warlord and find themselves in a desperate battle with a large force of heavily-armed Somalis.
30,Road to Perdition,-2002,R,117 min,"Crime, Drama, Thriller            ",7.7,"2,41,613","2,41,613",Sam Mendes,"['Tom Hanks', 'Tyler Hoechlin', 'Rob Maxey', 'Liam Aiken']","A mob enforcer's son witnesses a murder, forcing him and his father to take to the road, and his father down a path of redemption and revenge."
31,The Experiment,-2001,R,120 min,"Drama, Thriller            ",7.7,"89,780","89,780",Oliver Hirschbiegel,"['Moritz Bleibtreu', 'Christian Berkel', 'Oliver Stokowski', 'Wotan Wilke Möhring']","For two weeks, 20 male participants are hired to play prisoners and guards in a prison. The ""prisoners"" have to follow seemingly mild rules, and the ""guards"" are told to retain order without using physical violence."
32,Billy Elliot,-2000,R,110 min,"Drama, Music            ",7.7,"1,23,422","1,23,422",Stephen Daldry,"['Jamie Bell', 'Julie Walters', 'Jean Heywood', 'Jamie Draven']",A talented young boy becomes torn between his unexpected love of dance and the disintegration of his family.
33,Hedwig and the Angry Inch,-2001,R,95 min,"Comedy, Drama, Music            ",7.7,"31,345","31,345",John Cameron Mitchell,"['John Cameron Mitchell', 'Miriam Shor', 'Stephen Trask', 'Theodore Liscinski']",A transgender punk-rock girl from East Berlin tours the U.S. with her band as she tells her life story and follows the former lover/band-mate who stole her songs.
34,Ocean's Eleven,-2001,PG-13,116 min,"Crime, Thriller            ",7.7,"5,02,003","5,02,003",Steven Soderbergh,"['George Clooney', 'Brad Pitt', 'Julia Roberts', 'Matt Damon']",Danny Ocean and his ten accomplices plan to rob three Las Vegas casinos simultaneously.
35,Vampire Hunter D: Bloodlust,-2000,R,103 min,"Animation, Action, Fantasy            ",7.7,"28,441","28,441",Yoshiaki Kawajiri,"['Andrew Philpot', 'John Rafter Lee', 'Pamela Adlon', 'Wendee Lee']","When a girl is abducted by a vampire, a legendary bounty hunter is hired to bring her back."
36,"O Brother, Where Art Thou?",-2000,PG-13,107 min,"Adventure, Comedy, Crime            ",7.7,"2,78,021","2,78,021",Joel Coen,"['Ethan Coen', 'George Clooney', 'John Turturro', 'Tim Blake Nelson']","In the deep south during the 1930s, three escaped convicts search for hidden treasure while a relentless lawman pursues them."
37,Interstate 60: Episodes of the Road,-2002,R,116 min,"Adventure, Comedy, Drama            ",7.7,"29,247","29,247",Bob Gale,"['James Marsden', 'Gary Oldman', 'Kurt Russell', 'Matthew Edison']","Neal Oliver, a very confused young man and an artist, takes a journey of a lifetime on a highway I60 that doesn't exist on any of the maps, going to the places he never even heard of, searching for an answer and his dreamgirl."
38,"South Park: Bigger, Longer & Uncut",-1999,R,81 min,"Animation, Comedy, Fantasy            ",7.7,"1,89,412","1,89,412",Trey Parker,"['Trey Parker', 'Matt Stone', 'Mary Kay Bergman', 'Isaac Hayes']","When Stan Marsh and his friends go see an R-rated movie, they start cursing and their parents think that Canada is to blame."
39,Office Space,-1999,R,89 min,Comedy            ,7.7,"2,36,820","2,36,820",Mike Judge,"['Ron Livingston', 'Jennifer Aniston', 'David Herman', 'Ajay Naidu']",Three company workers who hate their jobs decide to rebel against their greedy boss.
40,Happiness,-1998,Unrated,134 min,"Comedy, Drama            ",7.7,"65,183","65,183",Todd Solondz,"['Jane Adams', 'Jon Lovitz', 'Philip Seymour Hoffman', 'Dylan Baker']","The lives of several individuals intertwine as they go about their lives in their own unique ways, engaging in acts society as a whole might find disturbing in a desperate search for human connection."
41,Training Day,-2001,R,122 min,"Crime, Drama, Thriller            ",7.7,"3,79,519","3,79,519",Antoine Fuqua,"['Denzel Washington', 'Ethan Hawke', 'Scott Glenn', 'Tom Berenger']",A rookie cop spends his first day as a Los Angeles narcotics officer with a rogue detective who isn't what he appears to be.
42,Rushmore,-1998,R,93 min,"Comedy, Drama, Romance            ",7.7,"1,65,166","1,65,166",Wes Anderson,"['Jason Schwartzman', 'Bill Murray', 'Olivia Williams', 'Seymour Cassel']",The extracurricular king of Rushmore Preparatory School is put on academic probation.
43,Being John Malkovich,-1999,R,113 min,"Comedy, Drama, Fantasy            ",7.7,"3,02,410","3,02,410",Spike Jonze,"['John Cusack', 'Cameron Diaz', 'Catherine Keener', 'John Malkovich']",A puppeteer discovers a portal that leads literally into the head of movie star John Malkovich.
44,As Good as It Gets,-1997,PG-13,139 min,"Comedy, Drama, Romance            ",7.7,"2,68,943","2,68,943",James L. Brooks,"['Jack Nicholson', 'Helen Hunt', 'Greg Kinnear', 'Cuba Gooding Jr.']","A single mother and waitress, a misanthropic author, and a gay artist form an unlikely friendship after the artist is assaulted in a robbery."
45,The Fifth Element,-1997,PG-13,126 min,"Action, Adventure, Sci-Fi            ",7.7,"4,24,289","4,24,289",Luc Besson,"['Bruce Willis', 'Milla Jovovich', 'Gary Oldman', 'Ian Holm']","In the colorful future, a cab driver unwittingly becomes the central figure in the search for a legendary cosmic weapon to keep Evil and Mr. Zorg at bay."
46,Le Dîner de Cons,-1998,PG-13,80 min,Comedy            ,7.7,"36,468","36,468",Francis Veber,"['Thierry Lhermitte', 'Jacques Villeret', 'Francis Huster', 'Daniel Prévost']","A few friends have a weekly fools' dinner, where each brings a fool along. Pierre finds a champion fool for next dinner. Surprise."
47,Donnie Brasco,-1997,R,127 min,"Biography, Crime, Drama            ",7.7,"2,70,177","2,70,177",Mike Newell,"['Al Pacino', 'Johnny Depp', 'Michael Madsen', 'Bruno Kirby']","An FBI undercover agent infiltrates the mob and finds himself identifying more with the mafia life, at the expense of his regular one."
48,Shine,-1996,PG-13,105 min,"Biography, Drama, Music            ",7.7,"50,365","50,365",Scott Hicks,"['Geoffrey Rush', 'Armin Mueller-Stahl', 'Justin Braine', 'Sonia Todd']","Pianist David Helfgott, driven by his father and teachers, has a breakdown. Years later he returns to the piano, to popular if not critical acclaim."
49,Primal Fear,-1996,R,129 min,"Crime, Drama, Mystery            ",7.7,"1,79,815","1,79,815",Gregory Hoblit,"['Richard Gere', 'Laura Linney', 'Edward Norton', 'John Mahoney']","An altar boy is accused of murdering a priest, and the truth is buried several layers deep."
50,Hamlet,-1996,PG-13,242 min,Drama            ,7.7,"35,429","35,429",Kenneth Branagh,"['Kenneth Branagh', 'Julie Christie', 'Derek Jacobi', 'Kate Winslet']","Hamlet, Prince of Denmark, returns home to find his father murdered and his mother remarrying the murderer, his uncle. Meanwhile, war is brewing."
51,A Little Princess,-1995,G,97 min,"Drama, Family, Fantasy            ",7.7,"31,324","31,324",Alfonso Cuarón,"['Liesel Matthews', 'Eleanor Bron', 'Liam Cunningham', 'Rusty Schwimmer']",A young girl is relegated to servitude at a boarding school when her father goes missing and is presumed dead.
52,Il Postino,-1994,PG,108 min,"Biography, Comedy, Drama            ",7.7,"32,677","32,677",Michael Radford,"['Massimo Troisi', 'Massimo Troisi', 'Philippe Noiret', 'Maria Grazia Cucinotta']","A simple Italian postman learns to love poetry while delivering mail to a famous poet, and then uses this to woo local beauty Beatrice."
53,Clerks,-1994,R,92 min,Comedy            ,7.7,"2,08,722","2,08,722",Kevin Smith,"[""Brian O'Halloran"", 'Jeff Anderson', 'Marilyn Ghigliotti', 'Lisa Spoonauer']","A day in the lives of two convenience clerks named Dante and Randal as they annoy customers, discuss movies, and play hockey on the store roof."
54,Short Cuts,-1993,R,188 min,"Comedy, Drama            ",7.7,"41,416","41,416",Robert Altman,"['Andie MacDowell', 'Julianne Moore', 'Tim Robbins', 'Bruce Davison']",The day-to-day lives of several suburban Los Angeles residents.
55,Philadelphia,-1993,PG-13,125 min,Drama            ,7.7,"2,18,746","2,18,746",Jonathan Demme,"['Tom Hanks', 'Denzel Washington', 'Roberta Maxwell', 'Buzz Kilman']","When a man with HIV is fired by his law firm because of his condition, he hires a homophobic small time lawyer as the only willing advocate for a wrongful dismissal suit."
56,The Muppet Christmas Carol,-1992,G,85 min,"Comedy, Drama, Family            ",7.7,"46,243","46,243",Brian Henson,"['Michael Caine', 'Dave Goelz', 'The Great Gonzo', 'Steve Whitmire']",The Muppet characters tell their version of the classic tale of an old and bitter miser's redemption on Christmas Eve.
57,Malcolm X,-1992,PG-13,202 min,"Biography, Drama, History            ",7.7,"82,902","82,902",Spike Lee,"['Denzel Washington', 'Angela Bassett', 'Delroy Lindo', 'Spike Lee']","Biographical epic of the controversial and influential Black Nationalist leader, from his early life and career as a small-time gangster, to his ministry as a member of the Nation of Islam."
58,The Last of the Mohicans,-1992,R,112 min,"Action, Adventure, Drama            ",7.7,"1,44,880","1,44,880",Michael Mann,"['Daniel Day-Lewis', 'Madeleine Stowe', 'Russell Means', 'Eric Schweig']",Three trappers protect the daughters of a British Colonel in the midst of the French and Indian War.
59,Porco Rosso,-1992,PG,94 min,"Animation, Adventure, Comedy            ",7.7,"73,270","73,270",Hayao Miyazaki,"['Shûichirô Moriyama', 'Tokiko Katô', 'Bunshi Katsura Vi', 'Tsunehiko Kamijô']","In 1930s Italy, a veteran World War I pilot is cursed to look like an anthropomorphic pig."
60,Glengarry Glen Ross,-1992,R,100 min,"Crime, Drama, Mystery            ",7.7,"93,425","93,425",James Foley,"['Al Pacino', 'Jack Lemmon', 'Alec Baldwin', 'Alan Arkin']",An examination of the machinations behind the scenes at a real estate office.
61,A Few Good Men,-1992,R,138 min,"Drama, Thriller            ",7.7,"2,28,193","2,28,193",Rob Reiner,"['Tom Cruise', 'Jack Nicholson', 'Demi Moore', 'Kevin Bacon']",Military lawyer Lieutenant Daniel Kaffee defends Marines accused of murder. They contend they were acting under orders.
62,Fried Green Tomatoes,-1991,PG-13,130 min,Drama            ,7.7,"65,087","65,087",Jon Avnet,"['Kathy Bates', 'Jessica Tandy', 'Mary Stuart Masterson', 'Mary-Louise Parker']",A housewife who is unhappy with her life befriends an old lady in a nursing home and is enthralled by the tales she tells of people she used to know.
63,Boyz n the Hood,-1991,R,112 min,"Crime, Drama            ",7.7,"1,20,949","1,20,949",John Singleton,"['Cuba Gooding Jr.', 'Laurence Fishburne', 'Hudhail Al-Amir', 'Lloyd Avery II']","Follows the lives of three young males living in the Crenshaw ghetto of Los Angeles, dissecting questions of race, relationships, violence, and future prospects."
64,Barton Fink,-1991,R,116 min,"Comedy, Drama, Thriller            ",7.7,"1,10,340","1,10,340",Joel Coen,"['Ethan Coen', 'John Turturro', 'John Goodman', 'Judy Davis']",A renowned New York playwright is enticed to California to write for the movies and discovers the hellish truth of Hollywood.
65,Miller's Crossing,-1990,R,115 min,"Crime, Drama, Thriller            ",7.7,"1,23,353","1,23,353",Joel Coen,"['Ethan Coen', 'Gabriel Byrne', 'Albert Finney', 'John Turturro']","Tom Reagan, an advisor to a Prohibition-era crime boss, tries to keep the peace between warring mobs but gets caught in divided loyalties."
66,Who Framed Roger Rabbit,-1988,PG,104 min,"Animation, Adventure, Comedy            ",7.7,"1,77,711","1,77,711",Robert Zemeckis,"['Richard Williams', 'Bob Hoskins', 'Christopher Lloyd', 'Joanna Cassidy']",A toon-hating detective is a cartoon rabbit's only hope to prove his innocence when he is accused of murder.
67,The Vanishing,-1988,Not Rated,107 min,"Mystery, Thriller            ",7.7,"32,784","32,784",George Sluizer,"['Bernard-Pierre Donnadieu', 'Gene Bervoets', 'Johanna ter Steege', 'Gwen Eckhaus']","Rex and Saskia, a young couple in love, are on vacation. They stop at a busy service station and Saskia is abducted. After three years and no sign of Saskia, Rex begins receiving letters from the abductor."
68,Withnail & I,-1987,R,107 min,"Comedy, Drama            ",7.7,"39,187","39,187",Bruce Robinson,"['Richard E. Grant', 'Paul McGann', 'Richard Griffiths', 'Ralph Brown']","In 1969, two substance-abusing, unemployed actors retreat to the countryside for a holiday that proves disastrous."
69,The Last Emperor,-1987,PG-13,163 min,"Biography, Drama, History            ",7.7,"91,289","91,289",Bernardo Bertolucci,"['John Lone', 'Joan Chen', ""Peter O'Toole"", 'Ruocheng Ying']",The story of the final Emperor of China.
70,Empire of the Sun,-1987,PG,153 min,"Action, Drama, History            ",7.7,"1,12,563","1,12,563",Steven Spielberg,"['Christian Bale', 'John Malkovich', 'Miranda Richardson', 'Nigel Havers']",A young English boy struggles to survive under Japanese occupation during World War II.
71,The Name of the Rose,-1986,R,130 min,"Crime, Drama, Mystery            ",7.7,"98,984","98,984",Jean-Jacques Annaud,"['Sean Connery', 'Christian Slater', 'Helmut Qualtinger', 'Elya Baskin']",An intellectually nonconformist friar investigates a series of mysterious deaths in an isolated abbey.
72,The Purple Rose of Cairo,-1985,PG,82 min,"Comedy, Fantasy, Romance            ",7.7,"45,887","45,887",Woody Allen,"['Mia Farrow', 'Jeff Daniels', 'Danny Aiello', 'Irving Metzman']","In New Jersey in 1935, a movie character walks off the screen and into the real world."
73,After Hours,-1985,R,97 min,"Comedy, Crime, Drama            ",7.7,"56,137","56,137",Martin Scorsese,"['Griffin Dunne', 'Rosanna Arquette', 'Verna Bloom', 'Tommy Chong']",An ordinary word processor has the worst night of his life after he agrees to visit a girl in Soho who he met that evening at a coffee shop.
74,Zelig,-1983,PG,79 min,Comedy            ,7.7,"39,022","39,022",Woody Allen,"['Woody Allen', 'Mia Farrow', 'Patrick Horgan', 'John Buckwalter']","""Documentary"" about a man who can look and act like whoever he's around, and meets various famous people."
75,The Verdict,-1982,R,129 min,Drama            ,7.7,"34,752","34,752",Sidney Lumet,"['Paul Newman', 'Charlotte Rampling', 'Jack Warden', 'James Mason']",A lawyer sees the chance to salvage his career and self-respect by taking a medical malpractice case to trial rather than settling.
76,Star Trek II: The Wrath of Khan,-1982,PG,113 min,"Action, Adventure, Sci-Fi            ",7.7,"1,10,287","1,10,287",Nicholas Meyer,"['William Shatner', 'Leonard Nimoy', 'DeForest Kelley', 'James Doohan']","With the assistance of the Enterprise crew, Admiral Kirk must stop an old nemesis, Khan Noonien Singh, from using the life-generating Genesis Device as the ultimate weapon."
77,First Blood,-1982,R,93 min,"Action, Adventure            ",7.7,"2,20,362","2,20,362",Ted Kotcheff,"['Sylvester Stallone', 'Brian Dennehy', 'Richard Crenna', 'Bill McKinney']",A veteran Green Beret is forced by a cruel Sheriff and his deputies to flee into the mountains and wage an escalating one-man war against his pursuers.
78,Ordinary People,-1980,R,124 min,Drama            ,7.7,"45,405","45,405",Robert Redford,"['Donald Sutherland', 'Mary Tyler Moore', 'Judd Hirsch', 'Timothy Hutton']","The accidental death of the older son of an affluent family deeply strains the relationships among the bitter mother, the good-natured father, and the guilt-ridden younger son."
79,Airplane!,-1980,PG,88 min,Comedy            ,7.7,"2,06,763","2,06,763",Jim Abrahams,"['David Zucker', 'Jerry Zucker', 'Robert Hays', 'Julie Hagerty']",A man afraid to fly must ensure that a plane lands safely after the pilots become sick.
80,Lupin the 3rd: Castle of Cagliostro,-1979,PG-13,102 min,"Animation, Adventure, Family            ",7.7,"25,684","25,684",Hayao Miyazaki,"['Yasuo Yamada', 'Eiko Masuyama', 'Kiyoshi Kobayashi', 'Makio Inoue']","A dashing thief, his gang of desperadoes and an intrepid policeman struggle to free a princess from an evil count's clutches, and learn the hidden secret to a fabulous treasure that she holds part of a key to."
81,The Tenant,-1976,R,126 min,"Drama, Thriller            ",7.7,"38,112","38,112",Roman Polanski,"['Roman Polanski', 'Isabelle Adjani', 'Melvyn Douglas', 'Jo Van Fleet']",A bureaucrat rents a Paris apartment where he finds himself drawn into a rabbit hole of dangerous paranoia.
82,Love and Death,-1975,PG,85 min,"Comedy, War            ",7.7,"35,071","35,071",Woody Allen,"['Woody Allen', 'Diane Keaton', 'Georges Adet', 'Frank Adu']","In czarist Russia, a neurotic soldier and his distant cousin formulate a plot to assassinate Napoleon."
83,The Taking of Pelham One Two Three,-1974,R,104 min,"Action, Crime, Thriller            ",7.7,"25,572","25,572",Joseph Sargent,"['Walter Matthau', 'Robert Shaw', 'Martin Balsam', 'Hector Elizondo']","In New York, armed men hijack a subway car and demand a ransom for the passengers. Even if it's paid, how could they get away?"
84,Blazing Saddles,-1974,R,93 min,"Comedy, Western            ",7.7,"1,22,814","1,22,814",Mel Brooks,"['Cleavon Little', 'Gene Wilder', 'Slim Pickens', 'Harvey Korman']","In order to ruin a western town, a corrupt politician appoints a black Sheriff, who promptly becomes his most formidable adversary."
85,Serpico,-1973,R,130 min,"Biography, Crime, Drama            ",7.7,"1,05,834","1,05,834",Sidney Lumet,"['Al Pacino', 'John Randolph', 'Jack Kehoe', 'Biff McGuire']",An honest New York cop named Frank Serpico blows the whistle on rampant corruption in the force only to have his comrades turn against him.
86,Enter the Dragon,-1973,R,102 min,"Action, Crime, Drama            ",7.7,"93,938","93,938",Robert Clouse,"['Bruce Lee', 'John Saxon', 'Jim Kelly', 'Ahna Capri']",A martial artist agrees to spy on a reclusive crime lord using his invitation to a tournament there as cover.
87,Deliverance,-1972,R,109 min,"Adventure, Drama, Thriller            ",7.7,"96,256","96,256",John Boorman,"['Jon Voight', 'Burt Reynolds', 'Ned Beatty', 'Ronny Cox']","Intent on seeing the Cahulawassee River before it's dammed and turned into a lake, outdoor fanatic Lewis Medlock takes his friends on a canoeing trip they'll never forget into the dangerous American back-country."
88,The French Connection,-1971,R,104 min,"Action, Crime, Drama            ",7.7,"1,06,718","1,06,718",William Friedkin,"['Gene Hackman', 'Roy Scheider', 'Fernando Rey', 'Tony Lo Bianco']",A pair of NYC cops in the Narcotics Bureau stumble onto a drug smuggling job with a French connection.
89,Dirty Harry,-1971,R,102 min,"Action, Crime, Thriller            ",7.7,"1,39,934","1,39,934",Don Siegel,"['Clint Eastwood', 'Andrew Robinson', 'Harry Guardino', 'Reni Santoni']","When a madman calling himself ""the Scorpio Killer"" menaces the city, tough as nails San Francisco Police Inspector ""Dirty"" Harry Callahan is assigned to track down and ferret out the crazed psychopath."
90,Where Eagles Dare,-1968,M/PG,158 min,"Action, Adventure, War            ",7.7,"50,441","50,441",Brian G. Hutton,"['Richard Burton', 'Clint Eastwood', 'Mary Ure', 'Patrick Wymark']","Allied agents stage a daring raid on a castle where the Nazis are holding American brigadier general George Carnaby prisoner, but that's not all that's really going on."
91,The Odd Couple,-1968,G,105 min,Comedy            ,7.7,"30,711","30,711",Gene Saks,"['Jack Lemmon', 'Walter Matthau', 'John Fiedler', 'Herb Edelman']","Two friends try sharing an apartment, but their ideas of housekeeping and lifestyles are as different as night and day."
